iter	Logloss
0	0.6768759432
1	0.6619025888
2	0.6472079193
3	0.63528356
4	0.6234872747
5	0.6121826367
6	0.6015547541
7	0.591582137
8	0.5823756144
9	0.5741298852
10	0.5661540569
11	0.5585414158
12	0.5520660978
13	0.546231582
14	0.540238851
15	0.5357440898
16	0.5301460746
17	0.5244071942
18	0.5199839958
19	0.515434747
20	0.5111295491
21	0.5070185822
22	0.5036842988
23	0.5002809731
24	0.4970080716
25	0.4937710979
26	0.4908552144
27	0.4883038091
28	0.486052351
29	0.4838850158
30	0.4815594511
31	0.4791976584
32	0.477031596
33	0.4754156549
34	0.4738045888
35	0.4720039648
36	0.4703352494
37	0.4691327938
38	0.4672017317
39	0.4662168449
40	0.4649473141
41	0.4635591959
42	0.4626049768
43	0.4612112408
44	0.4598788904
45	0.4591622595
46	0.4581654331
47	0.4569582864
48	0.4561658555
49	0.4552062319
50	0.4543413301
51	0.453692588
52	0.4531421766
53	0.4523197998
54	0.45168162
55	0.450989851
56	0.4501548337
57	0.4494173957
58	0.4490776447
59	0.448343722
60	0.4476167652
61	0.4469905481
62	0.4464397603
63	0.4459045681
64	0.4454519986
65	0.4451154422
66	0.4448039843
67	0.4445389243
68	0.4441785629
69	0.4436887893
70	0.4431447478
71	0.4428560759
72	0.4426759787
73	0.4423048822
74	0.4418507014
75	0.4415683473
76	0.4412912056
77	0.4409209254
78	0.4406683742
79	0.4404355132
80	0.4402953516
81	0.4398800084
82	0.4395809308
83	0.4392011745
84	0.4389317147
85	0.4387949193
86	0.4385889343
87	0.4384270137
88	0.4380329726
89	0.4377809084
90	0.4375987811
91	0.4373613328
92	0.4372409919
93	0.4369948267
94	0.436707446
95	0.4365050609
96	0.4363346022
97	0.4361647555
98	0.4359417152
99	0.4358115047
100	0.4357009799
101	0.4354851537
102	0.4353439461
103	0.435175505
104	0.435000667
105	0.4349426714
106	0.4348543419
107	0.4347547028
108	0.4346487101
109	0.4344746638
110	0.4343843239
111	0.4341982629
112	0.4340984006
113	0.4338957487
114	0.4338173114
115	0.4336583896
116	0.4335600749
117	0.4334939327
118	0.4333709129
119	0.4332634492
120	0.4330964087
121	0.4330360623
122	0.4329170059
123	0.4328522456
124	0.4327976535
125	0.4327165918
126	0.4326013705
127	0.432499642
128	0.4323634607
129	0.4322493332
130	0.4321774752
131	0.4320766462
132	0.432025294
133	0.432000915
134	0.4318301385
135	0.4316934723
136	0.4316153306
137	0.4314961457
138	0.4313868661
139	0.4312310455
140	0.4311903503
141	0.4311705213
142	0.4310726083
143	0.4309988749
144	0.4309804719
145	0.4308839874
146	0.4308140616
147	0.4307946662
148	0.4307062709
149	0.4306163241
150	0.4305094851
151	0.4304570288
152	0.430321588
153	0.4302315317
154	0.4302198595
155	0.4301400706
156	0.4300386088
157	0.4299874015
158	0.429918049
159	0.4298366879
160	0.4297728817
161	0.4297161687
162	0.4296500303
163	0.429637943
164	0.4295648239
165	0.4295167004
166	0.429505215
167	0.4294652382
168	0.4294038418
169	0.4292977425
170	0.4292461483
171	0.4292424042
172	0.4291815474
173	0.429119779
174	0.4290662137
175	0.4290467414
176	0.4289348836
177	0.4288806137
178	0.4288490685
179	0.4288227322
180	0.4287792418
181	0.4287277599
182	0.4286999296
183	0.4286788091
184	0.42866542
185	0.4286159116
186	0.4285817198
187	0.4285203055
188	0.4284756274
189	0.4284733979
190	0.4284424326
191	0.4284057647
192	0.4283316253
193	0.4283147492
194	0.4282684055
195	0.4282205505
196	0.42817588
197	0.428126004
198	0.4280899049
199	0.4280763386
200	0.4279997624
201	0.4279617763
202	0.4279431063
203	0.4279413663
204	0.4279084086
205	0.4278943796
206	0.4278927579
207	0.4278380009
208	0.427788771
209	0.4277371823
210	0.4276713488
211	0.4276168602
212	0.427576405
213	0.4275394288
214	0.4275313993
215	0.4275109566
216	0.4274816342
217	0.4274753127
218	0.4274360978
219	0.4274071998
220	0.4273588996
221	0.4273221816
222	0.4272816333
223	0.4272695409
224	0.4272105597
225	0.427196726
226	0.4271504708
227	0.4270948536
228	0.427067536
229	0.4270179283
230	0.4269876207
231	0.4269822921
232	0.4269450414
233	0.4269259622
234	0.4268993916
235	0.4268540059
236	0.4268341836
237	0.4267824951
238	0.4267418053
239	0.4267180826
240	0.4266729205
241	0.4266466109
242	0.4266230195
243	0.4265893562
244	0.4265520977
245	0.4265044436
246	0.4264474717
247	0.4264285992
248	0.4264087876
249	0.4263816862
250	0.4263762622
251	0.4263555916
252	0.4263173815
253	0.4262904742
254	0.426245773
255	0.4262451627
256	0.4262296833
257	0.4262075595
258	0.4261756393
259	0.4261575257
260	0.4261180665
261	0.426100761
262	0.4260611328
263	0.4260384078
264	0.426018851
265	0.4259843934
266	0.4259605887
267	0.4259484748
268	0.4259176555
269	0.4258846944
270	0.4258335637
271	0.425793831
272	0.4257856497
273	0.4257435455
274	0.4257152753
275	0.425675383
276	0.4256699953
277	0.4256406212
278	0.425602624
279	0.4255625813
280	0.4255157905
281	0.4254917709
282	0.4254823425
283	0.4254554751
284	0.4254283688
285	0.4253997347
286	0.4253827526
287	0.4253603144
288	0.4253462356
289	0.425346157
290	0.425297687
291	0.4252976795
292	0.4252737146
293	0.4252518785
294	0.425230155
295	0.4251955032
296	0.4251773747
297	0.4251487994
298	0.4251256249
299	0.4251059286
300	0.4250844328
301	0.4250628849
302	0.4250171955
303	0.4250168546
304	0.4250078495
305	0.4249815503
306	0.4249506288
307	0.4249320213
308	0.4249263883
309	0.4249121192
310	0.4248916047
311	0.4248770105
312	0.4248695573
313	0.4248544304
314	0.4248304034
315	0.4248052464
316	0.4248052416
317	0.4247717642
318	0.4247641755
319	0.4247452222
320	0.4247194678
321	0.4247013743
322	0.4247013697
323	0.4246674343
324	0.4246674296
325	0.4246279391
326	0.4246115091
327	0.4245772818
328	0.4245574972
329	0.4245574923
330	0.424538178
331	0.4245142808
332	0.4244852482
333	0.4244541735
334	0.4244388469
335	0.4244000046
336	0.424380583
337	0.4243545133
338	0.4243351276
339	0.4243148237
340	0.4242902561
341	0.424271901
342	0.4242558271
343	0.4242438144
344	0.4242396718
345	0.4242189341
346	0.424205015
347	0.4242043546
348	0.4241574797
349	0.4241377492
350	0.4241160427
351	0.4240991405
352	0.4240826695
353	0.4240702236
354	0.4240545971
355	0.4240474242
356	0.424021419
357	0.4239926204
358	0.4239804519
359	0.42398043
360	0.4239782445
361	0.4239679757
362	0.4239379745
363	0.42393304
364	0.4239076635
365	0.4238948431
366	0.4238582794
367	0.4238265083
368	0.4237921588
369	0.4237732134
370	0.4237550528
371	0.4237020313
372	0.4236795894
373	0.4236795856
374	0.4236590454
375	0.4236236408
376	0.4235986006
377	0.4235872154
378	0.4235649253
379	0.4235154451
380	0.4235030726
381	0.4235030694
382	0.4234828667
383	0.423469833
384	0.4234514087
385	0.4234401116
386	0.4234401092
387	0.4234135823
388	0.4233963098
389	0.4233658162
390	0.4233579602
391	0.4233391556
392	0.4233114061
393	0.4232879914
394	0.4232706504
395	0.4232599225
396	0.4232394164
397	0.4232174945
398	0.4232049605
399	0.4231820932
400	0.4231414703
401	0.4231158573
402	0.4230780226
403	0.4230611634
404	0.4230495562
405	0.4230277239
406	0.4230054374
407	0.4229870633
408	0.4229823813
409	0.4229592721
410	0.4229397282
411	0.4229196271
412	0.4229094409
413	0.422887063
414	0.4228184705
415	0.4228041776
416	0.4227875388
417	0.4227565857
418	0.4227432824
419	0.4227314462
420	0.4227141811
421	0.4227022901
422	0.4226728082
423	0.4226433646
424	0.4226217076
425	0.4226089249
426	0.4226008785
427	0.4225821248
428	0.4225563787
429	0.4225259159
430	0.4225050819
431	0.4224935136
432	0.4224759739
433	0.4224560669
434	0.4224395068
435	0.4224230778
436	0.4224110663
437	0.4223906306
438	0.4223792396
439	0.4223634006
440	0.422340932
441	0.4223272457
442	0.4223164929
443	0.4223013183
444	0.422292317
445	0.4222706828
446	0.422260466
447	0.4222259797
448	0.4222165357
449	0.4221907254
450	0.4221906227
451	0.4221772796
452	0.4221414302
453	0.4221245697
454	0.4220760716
455	0.4220572793
456	0.4220416118
457	0.422026142
458	0.4220160352
459	0.4219810789
460	0.4219592819
461	0.4219563167
462	0.4219397664
463	0.421903455
464	0.421891364
465	0.4218778914
466	0.4218695079
467	0.4218498543
468	0.4218346621
469	0.4218276527
470	0.4218227574
471	0.4217997989
472	0.4217928768
473	0.4217789225
474	0.4217627364
475	0.4217584072
476	0.4217377994
477	0.4216904611
478	0.4216801028
479	0.4216715757
480	0.4216540443
481	0.4216431411
482	0.42162925
483	0.4216170118
484	0.4216047411
485	0.421594352
486	0.4215780403
487	0.4215599585
488	0.4215486962
489	0.4215286385
490	0.4215159649
491	0.4215119956
492	0.4214919725
493	0.4214789292
494	0.4214702645
495	0.4214255057
496	0.4214048256
497	0.4213639907
498	0.4213484582
499	0.4213378821
