0	229173	459
1	172676	693
2	170654	1030
3	141432	1140
4	152482	1540
5	141021	1712
6	145824	2070
7	145205	2361
8	151911	2784
9	151776	3097
10	153694	3457
11	162204	3988
12	162870	4347
13	156339	4503
14	154090	4765
15	146725	4850
16	152422	5364
17	156391	5840
18	157439	6219
19	160654	6693
20	157180	6890
21	157202	7235
22	152220	7339
23	151586	7643
24	151550	7976
25	151824	8327
26	152330	8695
27	151507	8987
28	149250	9189
29	149805	9562
30	147887	9775
31	148397	10146
32	150232	10615
33	151178	11030
34	152725	11495
35	154542	11990
36	155038	12389
37	152173	12516
38	152380	12891
39	150175	13058
40	150542	13447
41	151427	13886
42	151060	14213
43	151232	14592
44	150880	14922
45	149173	15114
46	149678	15529
47	150070	15936
48	150531	16354
49	150583	16731
50	150850	17134
51	149560	17359
52	149609	17738
53	149502	18101
54	149595	18489
55	149971	18915
56	149638	19253
57	149375	19601
58	147763	19768
59	147790	20153
60	147897	20550
61	147559	20887
62	147581	21276
63	147220	21610
64	146885	21948
65	146577	22290
66	146513	22670
67	145820	22953
68	145852	23349
69	145227	23641
70	145119	24017
71	145175	24422
72	144219	24655
73	144006	25015
74	144060	25422
75	144257	25857
76	144516	26306
77	144553	26718
78	144644	27142
79	144894	27598
80	144650	27963
81	144688	28383
82	144595	28780
83	144101	29097
84	143763	29445
85	143432	29795
86	143417	30211
87	143392	30627
88	143200	31009
89	142960	31381
90	142957	31807
91	142710	32179
92	142512	32564
93	142451	32981
94	142077	33326
95	141956	33732
96	141234	33994
97	141033	34381
98	140846	34772
99	140625	35156
100	140525	35571
101	140208	35932
102	140248	36386
103	139930	36749
104	139822	37167
105	139357	37492
106	138926	37824
107	138869	38260
108	138760	38682
109	138397	39035
110	138192	39432
111	137817	39782
112	137626	40185
113	137313	40553
114	136948	40906
115	136481	41228
116	136074	41568
117	135616	41891
118	135480	42315
119	134847	42583
120	134592	42970
121	134532	43420
122	134366	43838
123	133616	44065
124	133465	44488
125	133414	44947
126	132771	45206
127	132539	45604
128	132385	46031
129	132030	46389
